,pc1,pc2,pc3,pc4,pc5
0,0.3263501294907632,-0.31104623673672527,0.17926150711838912,0.21011759152194903,0.4268874082006001
1,0.3033311426125947,-0.2268647236003909,0.005262058438009898,-0.5610785224338545,0.28863060656802875
2,0.2630299213572531,-0.37537685410273275,-0.25745546019859344,0.601469274108105,-0.365275297210215
3,0.2933964823211678,0.564200452342027,0.2463723348090748,0.1615696105838863,0.17291228931600033
4,0.3154042509301385,-0.15711810104074395,-0.4491115929816478,0.07265305350382671,0.4682606384567855
5,0.3296254569830986,-0.09149896299782612,0.36249084139701687,0.0349312599951187,-0.04024057787025398
6,0.34786845880689066,0.03537427490630185,-0.36128406287357473,-0.2914974080818444,-0.4297354515267033
7,0.34040626115651096,0.3150444813427503,-0.2990901992781206,-0.2266767270377913,-0.16964911471582622
8,0.3437034564600185,0.4228147119721871,0.09559963705812505,0.27410465564274333,-0.006176446832626766
9,0.2882114482270691,-0.28322764636332454,0.5278576857617561,-0.18758028623444803,-0.3698052900783688
